Timestamp	Memory (MB)	Clients	Event Heap Size	Bytes Recv	Bytes Sent	Loop Exec Time (ms)	Drift	Frame	World Time
2025-11-26T05:23:09.916Z	179	1	24	523	130447	0	-1	4260	08:21
2025-11-26T05:23:12.934Z	179	1	24	523	130447	0	8	4320	08:21
2025-11-26T05:23:15.937Z	179	1	24	523	130454	0	3	4380	08:22
2025-11-26T05:23:18.955Z	179	1	24	523	130461	0	10	4440	08:22
2025-11-26T05:23:21.960Z	179	1	24	523	130461	0	3	4500	08:22
2025-11-26T05:23:24.977Z	179	1	24	523	130468	0	12	4560	08:22
2025-11-26T05:23:27.983Z	179	1	24	523	130468	0	4	4620	08:23
2025-11-26T05:23:30.986Z	179	1	24	523	130475	0	1	4680	08:23
2025-11-26T05:23:34.003Z	179	1	24	523	130482	0	7	4740	08:23
2025-11-26T05:23:37.008Z	179	1	24	523	130482	0	3	4800	08:24
2025-11-26T05:23:40.011Z	179	1	24	523	130489	0	-1	4860	08:24
2025-11-26T05:23:43.032Z	179	1	24	523	130489	0	8	4920	08:24
2025-11-26T05:23:46.046Z	179	1	24	523	130496	0	16	4980	08:25
2025-11-26T05:23:49.053Z	179	1	24	523	130503	0	15	5040	08:25
2025-11-26T05:23:52.055Z	179	1	24	523	130503	0	7	5100	08:25
2025-11-26T05:23:55.060Z	179	1	24	523	130510	0	3	5160	08:25
